Task,Horizon,Model,F1,AUC,Accuracy
heatwave,30d,LogReg,0.638,0.9608,0.9249
heatwave,30d,RandomForest,0.7666,0.9741,0.9675
heatwave,30d,XGBoost,0.7699,0.9722,0.9644
heatwave,30d,LightGBM,0.7313,0.9704,0.96
heatwave,30d,CatBoost,0.7699,0.9767,0.9615
heatwave,60d,LogReg,0.5277,0.937,0.8811
heatwave,60d,RandomForest,0.773,0.9721,0.9679
heatwave,60d,XGBoost,0.7733,0.9744,0.9637
heatwave,60d,LightGBM,0.7722,0.975,0.9633
heatwave,60d,CatBoost,0.767,0.978,0.9601
heatwave,90d,LogReg,0.4758,0.9167,0.8511
heatwave,90d,RandomForest,0.7334,0.9742,0.9615
heatwave,90d,XGBoost,0.7761,0.9757,0.9641
heatwave,90d,LightGBM,0.7711,0.9723,0.9629
heatwave,90d,CatBoost,0.7741,0.9764,0.9601
rain,30d,LogReg,0.2896,0.7686,0.7213
rain,30d,RandomForest,0.314,0.8012,0.8977
rain,30d,XGBoost,0.323,0.797,0.7926
rain,30d,LightGBM,0.318,0.7986,0.7691
rain,30d,CatBoost,0.3289,0.8129,0.7687
rain,60d,LogReg,0.2661,0.7538,0.6723
rain,60d,RandomForest,0.2988,0.7919,0.8979
rain,60d,XGBoost,0.3127,0.7854,0.7701
rain,60d,LightGBM,0.307,0.786,0.7611
rain,60d,CatBoost,0.3296,0.8098,0.771
rain,90d,LogReg,0.2509,0.7544,0.6445
rain,90d,RandomForest,0.2648,0.7847,0.8919
rain,90d,XGBoost,0.3131,0.783,0.7931
rain,90d,LightGBM,0.3043,0.7807,0.7769
rain,90d,CatBoost,0.3286,0.8062,0.7728
disaster,30d,LogReg,0.4629,0.8004,0.7406
disaster,30d,RandomForest,0.5186,0.8438,0.8784
disaster,30d,XGBoost,0.5529,0.8488,0.8281
disaster,30d,LightGBM,0.551,0.8522,0.8216
disaster,30d,CatBoost,0.5567,0.8586,0.8205
disaster,60d,LogReg,0.4306,0.7834,0.7064
disaster,60d,RandomForest,0.5366,0.8435,0.8725
disaster,60d,XGBoost,0.5476,0.8423,0.8302
disaster,60d,LightGBM,0.5465,0.8445,0.8292
disaster,60d,CatBoost,0.555,0.8526,0.8222
disaster,90d,LogReg,0.4102,0.7682,0.665
disaster,90d,RandomForest,0.5245,0.836,0.8685
disaster,90d,XGBoost,0.5351,0.8358,0.8135
disaster,90d,LightGBM,0.5429,0.8435,0.8131
disaster,90d,CatBoost,0.5597,0.8567,0.8163
